物种名称,发生样点经度,发生样点纬度,原始行政区名称,year,data_source
美国白蛾,118.403073,35.088936,河东区,2019,occurrences_2019_geocoded.csv
美国白蛾,103.761329,29.555374,市中区,2019,occurrences_2019_geocoded.csv
美国白蛾,116.901057,36.652264,槐荫区,2019,occurrences_2019_geocoded.csv
美国白蛾,116.987106,36.678665,天桥区,2019,occurrences_2019_geocoded.csv
美国白蛾,117.065233,36.680731,历城区,2019,occurrences_2019_geocoded.csv
美国白蛾,116.752101,36.554251,长清区,2019,occurrences_2019_geocoded.csv
美国白蛾,117.526228,36.681258,章丘区,2019,occurrences_2019_geocoded.csv
美国白蛾,116.455865,36.289813,平阴县,2019,occurrences_2019_geocoded.csv
美国白蛾,117.157165,37.309694,商河县,2019,occurrences_2019_geocoded.csv
美国白蛾,120.374675,36.08765,市北区,2019,occurrences_2019_geocoded.csv
美国白蛾,120.469282,36.107069,崂山区,2019,occurrences_2019_geocoded.csv
美国白蛾,120.432652,36.145987,李沧区,2019,occurrences_2019_geocoded.csv
美国白蛾,120.396255,36.307624,城阳区,2019,occurrences_2019_geocoded.csv
美国白蛾,120.447691,36.390217,即墨区,2019,occurrences_2019_geocoded.csv
美国白蛾,120.033382,36.26468,胶州市,2019,occurrences_2019_geocoded.csv
美国白蛾,119.970192,36.753895,平度市,2019,occurrences_2019_geocoded.csv
美国白蛾,118.017877,36.807011,张店区,2019,occurrences_2019_geocoded.csv
美国白蛾,117.8627,36.495014,博山区,2019,occurrences_2019_geocoded.csv
美国白蛾,118.309398,36.826882,临淄区,2019,occurrences_2019_geocoded.csv
美国白蛾,117.869686,36.80309,周村区,2019,occurrences_2019_geocoded.csv
美国白蛾,118.097923,36.959794,桓台县,2019,occurrences_2019_geocoded.csv
美国白蛾,117.826743,37.171042,高青县,2019,occurrences_2019_geocoded.csv
美国白蛾,118.170856,36.185402,沂源县,2019,occurrences_2019_geocoded.csv
美国白蛾,117.263524,34.795339,薛城区,2019,occurrences_2019_geocoded.csv
美国白蛾,117.590738,34.772931,峄城区,2019,occurrences_2019_geocoded.csv
美国白蛾,117.734287,34.563103,台儿庄区,2019,occurrences_2019_geocoded.csv
美国白蛾,117.461866,35.099638,山亭区,2019,occurrences_2019_geocoded.csv
美国白蛾,117.165881,35.11412,滕州市,2019,occurrences_2019_geocoded.csv
美国白蛾,118.525519,37.886217,河口区,2019,occurrences_2019_geocoded.csv
美国白蛾,118.575234,37.573412,垦利区,2019,occurrences_2019_geocoded.csv
美国白蛾,118.255084,37.490919,利津县,2019,occurrences_2019_geocoded.csv
美国白蛾,118.419437,37.053915,广饶县,2019,occurrences_2019_geocoded.csv
美国白蛾,121.267638,37.49833,福山区,2019,occurrences_2019_geocoded.csv
美国白蛾,121.601015,37.387454,牟平区,2019,occurrences_2019_geocoded.csv
美国白蛾,121.444949,37.511322,莱山区,2019,occurrences_2019_geocoded.csv
美国白蛾,120.829141,37.795697,长岛县,2019,occurrences_2019_geocoded.csv
美国白蛾,120.47614,37.645281,龙口市,2019,occurrences_2019_geocoded.csv
美国白蛾,120.711555,36.979757,莱阳市,2019,occurrences_2019_geocoded.csv
美国白蛾,119.942057,37.178187,莱州市,2019,occurrences_2019_geocoded.csv
美国白蛾,120.829141,37.795697,蓬莱市,2019,occurrences_2019_geocoded.csv
美国白蛾,120.433904,37.354517,招远市,2019,occurrences_2019_geocoded.csv
美国白蛾,120.849595,37.335993,栖霞市,2019,occurrences_2019_geocoded.csv
美国白蛾,121.173506,36.688316,海阳市,2019,occurrences_2019_geocoded.csv
美国白蛾,119.211251,36.755925,寒亭区,2019,occurrences_2019_geocoded.csv
美国白蛾,119.166343,36.653671,坊子区,2019,occurrences_2019_geocoded.csv
美国白蛾,119.132288,36.707459,奎文区,2019,occurrences_2019_geocoded.csv
美国白蛾,118.543274,36.51246,临朐县,2019,occurrences_2019_geocoded.csv
美国白蛾,118.479637,36.685178,青州市,2019,occurrences_2019_geocoded.csv
美国白蛾,119.410051,35.996404,诸城市,2019,occurrences_2019_geocoded.csv
美国白蛾,118.791062,36.857133,寿光市,2019,occurrences_2019_geocoded.csv
美国白蛾,119.21892,36.479642,安丘市,2019,occurrences_2019_geocoded.csv
美国白蛾,119.755271,36.382973,高密市,2019,occurrences_2019_geocoded.csv
美国白蛾,119.403185,36.843256,昌邑市,2019,occurrences_2019_geocoded.csv
美国白蛾,116.78365,35.551938,兖州区,2019,occurrences_2019_geocoded.csv
美国白蛾,117.129188,34.806657,微山县,2019,occurrences_2019_geocoded.csv
美国白蛾,116.650526,35.012706,鱼台县,2019,occurrences_2019_geocoded.csv
美国白蛾,116.311549,35.06658,金乡县,2019,occurrences_2019_geocoded.csv
美国白蛾,116.342308,35.40794,嘉祥县,2019,occurrences_2019_geocoded.csv
美国白蛾,116.497277,35.711891,汶上县,2019,occurrences_2019_geocoded.csv
美国白蛾,117.250824,35.664719,泗水县,2019,occurrences_2019_geocoded.csv
美国白蛾,116.131779,35.765957,梁山县,2019,occurrences_2019_geocoded.csv
美国白蛾,116.986212,35.581933,曲阜市,2019,occurrences_2019_geocoded.csv
美国白蛾,117.007406,35.402536,邹城市,2019,occurrences_2019_geocoded.csv
美国白蛾,117.041651,36.188088,岱岳区,2019,occurrences_2019_geocoded.csv
美国白蛾,116.805578,35.758919,宁阳县,2019,occurrences_2019_geocoded.csv
美国白蛾,116.470211,35.937049,东平县,2019,occurrences_2019_geocoded.csv
美国白蛾,117.768069,35.90953,新泰市,2019,occurrences_2019_geocoded.csv
美国白蛾,116.769098,36.181975,肥城市,2019,occurrences_2019_geocoded.csv
美国白蛾,122.08832,37.196032,文登区,2019,occurrences_2019_geocoded.csv
美国白蛾,122.487036,37.165698,荣成市,2019,occurrences_2019_geocoded.csv
美国白蛾,121.539557,36.920329,乳山市,2019,occurrences_2019_geocoded.csv
美国白蛾,119.31881,35.121985,岚山区,2019,occurrences_2019_geocoded.csv
美国白蛾,119.213673,35.760154,五莲县,2019,occurrences_2019_geocoded.csv
美国白蛾,118.869059,35.59125,莒县,2019,occurrences_2019_geocoded.csv
美国白蛾,117.811604,36.059393,钢城区,2019,occurrences_2019_geocoded.csv
美国白蛾,118.284693,34.997061,罗庄区,2019,occurrences_2019_geocoded.csv
美国白蛾,118.403073,35.088936,河东区,2019,occurrences_2019_geocoded.csv
美国白蛾,118.36727,34.614077,郯城县,2019,occurrences_2019_geocoded.csv
美国白蛾,118.628142,35.790919,沂水县,2019,occurrences_2019_geocoded.csv
美国白蛾,118.070912,34.858235,兰陵县,2019,occurrences_2019_geocoded.csv
美国白蛾,117.9776,35.265851,费县,2019,occurrences_2019_geocoded.csv
美国白蛾,117.615201,35.516849,平邑县,2019,occurrences_2019_geocoded.csv
美国白蛾,118.835166,35.206252,莒南县,2019,occurrences_2019_geocoded.csv
美国白蛾,117.953367,35.720128,蒙阴县,2019,occurrences_2019_geocoded.csv
美国白蛾,118.650828,34.920171,临沭县,2019,occurrences_2019_geocoded.csv
美国白蛾,116.576148,37.336444,陵城区,2019,occurrences_2019_geocoded.csv
美国白蛾,116.800279,37.652456,宁津县,2019,occurrences_2019_geocoded.csv
美国白蛾,117.384163,37.774376,庆云县,2019,occurrences_2019_geocoded.csv
美国白蛾,116.866568,37.190139,临邑县,2019,occurrences_2019_geocoded.csv
美国白蛾,116.762767,36.784164,齐河县,2019,occurrences_2019_geocoded.csv
美国白蛾,116.434016,37.165453,平原县,2019,occurrences_2019_geocoded.csv
美国白蛾,116.001796,36.948013,夏津县,2019,occurrences_2019_geocoded.csv
美国白蛾,116.069312,37.213398,武城县,2019,occurrences_2019_geocoded.csv
美国白蛾,117.232085,37.729769,乐陵市,2019,occurrences_2019_geocoded.csv
美国白蛾,116.638558,36.934198,禹城市,2019,occurrences_2019_geocoded.csv
美国白蛾,115.791822,36.114392,阳谷县,2019,occurrences_2019_geocoded.csv
美国白蛾,115.669843,36.233711,莘县,2019,occurrences_2019_geocoded.csv
美国白蛾,116.247655,36.335198,东阿县,2019,occurrences_2019_geocoded.csv
美国白蛾,115.441684,36.484011,冠县,2019,occurrences_2019_geocoded.csv
美国白蛾,116.230126,36.84715,高唐县,2019,occurrences_2019_geocoded.csv
美国白蛾,115.704982,36.83828,临清市,2019,occurrences_2019_geocoded.csv
美国白蛾,118.098962,37.698952,沾化区,2019,occurrences_2019_geocoded.csv
美国白蛾,117.593744,37.47528,惠民县,2019,occurrences_2019_geocoded.csv
美国白蛾,117.603407,37.632773,阳信县,2019,occurrences_2019_geocoded.csv
美国白蛾,117.625846,37.770579,无棣县,2019,occurrences_2019_geocoded.csv
美国白蛾,118.110715,37.154529,博兴县,2019,occurrences_2019_geocoded.csv
美国白蛾,115.583172,35.105742,定陶区,2019,occurrences_2019_geocoded.csv
美国白蛾,115.556393,34.85875,曹县,2019,occurrences_2019_geocoded.csv
美国白蛾,116.106396,34.779282,单县,2019,occurrences_2019_geocoded.csv
美国白蛾,115.889775,34.95278,成武县,2019,occurrences_2019_geocoded.csv
美国白蛾,116.062585,35.388543,巨野县,2019,occurrences_2019_geocoded.csv
美国白蛾,115.938939,35.575276,郓城县,2019,occurrences_2019_geocoded.csv
美国白蛾,115.544507,35.534088,鄄城县,2019,occurrences_2019_geocoded.csv
美国白蛾,115.107402,35.275664,东明县,2019,occurrences_2019_geocoded.csv
美国白蛾,118.403073,35.088936,河东区,2020,occurrences_2020_geocoded.csv
美国白蛾,103.761329,29.555374,市中区,2020,occurrences_2020_geocoded.csv
美国白蛾,116.901057,36.652264,槐荫区,2020,occurrences_2020_geocoded.csv
美国白蛾,116.987106,36.678665,天桥区,2020,occurrences_2020_geocoded.csv
美国白蛾,117.065233,36.680731,历城区,2020,occurrences_2020_geocoded.csv
美国白蛾,116.752101,36.554251,长清区,2020,occurrences_2020_geocoded.csv
美国白蛾,117.526228,36.681258,章丘区,2020,occurrences_2020_geocoded.csv
美国白蛾,116.455865,36.289813,平阴县,2020,occurrences_2020_geocoded.csv
美国白蛾,117.157165,37.309694,商河县,2020,occurrences_2020_geocoded.csv
美国白蛾,120.374675,36.08765,市北区,2020,occurrences_2020_geocoded.csv
美国白蛾,120.469282,36.107069,崂山区,2020,occurrences_2020_geocoded.csv
美国白蛾,120.432652,36.145987,李沧区,2020,occurrences_2020_geocoded.csv
美国白蛾,120.396255,36.307624,城阳区,2020,occurrences_2020_geocoded.csv
美国白蛾,120.033382,36.26468,胶州市,2020,occurrences_2020_geocoded.csv
美国白蛾,119.970192,36.753895,平度市,2020,occurrences_2020_geocoded.csv
美国白蛾,120.517581,36.889167,莱西市,2020,occurrences_2020_geocoded.csv
美国白蛾,118.017877,36.807011,张店区,2020,occurrences_2020_geocoded.csv
美国白蛾,117.8627,36.495014,博山区,2020,occurrences_2020_geocoded.csv
美国白蛾,118.309398,36.826882,临淄区,2020,occurrences_2020_geocoded.csv
美国白蛾,117.869686,36.80309,周村区,2020,occurrences_2020_geocoded.csv
美国白蛾,118.097923,36.959794,桓台县,2020,occurrences_2020_geocoded.csv
美国白蛾,117.826743,37.171042,高青县,2020,occurrences_2020_geocoded.csv
美国白蛾,118.170856,36.185402,沂源县,2020,occurrences_2020_geocoded.csv
美国白蛾,117.263524,34.795339,薛城区,2020,occurrences_2020_geocoded.csv
美国白蛾,117.590738,34.772931,峄城区,2020,occurrences_2020_geocoded.csv
美国白蛾,117.734287,34.563103,台儿庄区,2020,occurrences_2020_geocoded.csv
美国白蛾,117.461866,35.099638,山亭区,2020,occurrences_2020_geocoded.csv
美国白蛾,117.165881,35.11412,滕州市,2020,occurrences_2020_geocoded.csv
美国白蛾,118.525519,37.886217,河口区,2020,occurrences_2020_geocoded.csv
美国白蛾,118.575234,37.573412,垦利区,2020,occurrences_2020_geocoded.csv
美国白蛾,118.255084,37.490919,利津县,2020,occurrences_2020_geocoded.csv
美国白蛾,118.419437,37.053915,广饶县,2020,occurrences_2020_geocoded.csv
美国白蛾,121.267638,37.49833,福山区,2020,occurrences_2020_geocoded.csv
美国白蛾,121.601015,37.387454,牟平区,2020,occurrences_2020_geocoded.csv
美国白蛾,121.444949,37.511322,莱山区,2020,occurrences_2020_geocoded.csv
美国白蛾,120.829141,37.795697,长岛县,2020,occurrences_2020_geocoded.csv
美国白蛾,120.711555,36.979757,莱阳市,2020,occurrences_2020_geocoded.csv
美国白蛾,119.942057,37.178187,莱州市,2020,occurrences_2020_geocoded.csv
美国白蛾,120.829141,37.795697,蓬莱市,2020,occurrences_2020_geocoded.csv
美国白蛾,120.433904,37.354517,招远市,2020,occurrences_2020_geocoded.csv
美国白蛾,120.849595,37.335993,栖霞市,2020,occurrences_2020_geocoded.csv
美国白蛾,121.173506,36.688316,海阳市,2020,occurrences_2020_geocoded.csv
美国白蛾,119.211251,36.755925,寒亭区,2020,occurrences_2020_geocoded.csv
美国白蛾,119.166343,36.653671,坊子区,2020,occurrences_2020_geocoded.csv
美国白蛾,119.132288,36.707459,奎文区,2020,occurrences_2020_geocoded.csv
美国白蛾,118.543274,36.51246,临朐县,2020,occurrences_2020_geocoded.csv
美国白蛾,118.841035,36.688035,昌乐县,2020,occurrences_2020_geocoded.csv
美国白蛾,118.479637,36.685178,青州市,2020,occurrences_2020_geocoded.csv
美国白蛾,119.410051,35.996404,诸城市,2020,occurrences_2020_geocoded.csv
美国白蛾,118.791062,36.857133,寿光市,2020,occurrences_2020_geocoded.csv
美国白蛾,119.21892,36.479642,安丘市,2020,occurrences_2020_geocoded.csv
美国白蛾,119.755271,36.382973,高密市,2020,occurrences_2020_geocoded.csv
美国白蛾,119.403185,36.843256,昌邑市,2020,occurrences_2020_geocoded.csv
美国白蛾,116.78365,35.551938,兖州区,2020,occurrences_2020_geocoded.csv
美国白蛾,117.129188,34.806657,微山县,2020,occurrences_2020_geocoded.csv
美国白蛾,116.650526,35.012706,鱼台县,2020,occurrences_2020_geocoded.csv
美国白蛾,116.311549,35.06658,金乡县,2020,occurrences_2020_geocoded.csv
美国白蛾,116.342308,35.40794,嘉祥县,2020,occurrences_2020_geocoded.csv
美国白蛾,117.250824,35.664719,泗水县,2020,occurrences_2020_geocoded.csv
美国白蛾,116.131779,35.765957,梁山县,2020,occurrences_2020_geocoded.csv
美国白蛾,117.007406,35.402536,邹城市,2020,occurrences_2020_geocoded.csv
美国白蛾,117.041651,36.188088,岱岳区,2020,occurrences_2020_geocoded.csv
美国白蛾,116.805578,35.758919,宁阳县,2020,occurrences_2020_geocoded.csv
美国白蛾,116.470211,35.937049,东平县,2020,occurrences_2020_geocoded.csv
美国白蛾,117.768069,35.90953,新泰市,2020,occurrences_2020_geocoded.csv
美国白蛾,116.769098,36.181975,肥城市,2020,occurrences_2020_geocoded.csv
美国白蛾,122.08832,37.196032,文登区,2020,occurrences_2020_geocoded.csv
美国白蛾,122.487036,37.165698,荣成市,2020,occurrences_2020_geocoded.csv
美国白蛾,121.539557,36.920329,乳山市,2020,occurrences_2020_geocoded.csv
美国白蛾,119.31881,35.121985,岚山区,2020,occurrences_2020_geocoded.csv
美国白蛾,119.213673,35.760154,五莲县,2020,occurrences_2020_geocoded.csv
美国白蛾,118.869059,35.59125,莒县,2020,occurrences_2020_geocoded.csv
美国白蛾,117.811604,36.059393,钢城区,2020,occurrences_2020_geocoded.csv
美国白蛾,118.284693,34.997061,罗庄区,2020,occurrences_2020_geocoded.csv
美国白蛾,118.403073,35.088936,河东区,2020,occurrences_2020_geocoded.csv
美国白蛾,118.465259,35.550078,沂南县,2020,occurrences_2020_geocoded.csv
美国白蛾,118.628142,35.790919,沂水县,2020,occurrences_2020_geocoded.csv
美国白蛾,118.070912,34.858235,兰陵县,2020,occurrences_2020_geocoded.csv
美国白蛾,117.615201,35.516849,平邑县,2020,occurrences_2020_geocoded.csv
美国白蛾,118.835166,35.206252,莒南县,2020,occurrences_2020_geocoded.csv
美国白蛾,117.953367,35.720128,蒙阴县,2020,occurrences_2020_geocoded.csv
美国白蛾,118.650828,34.920171,临沭县,2020,occurrences_2020_geocoded.csv
美国白蛾,116.576148,37.336444,陵城区,2020,occurrences_2020_geocoded.csv
美国白蛾,116.800279,37.652456,宁津县,2020,occurrences_2020_geocoded.csv
美国白蛾,117.384163,37.774376,庆云县,2020,occurrences_2020_geocoded.csv
美国白蛾,116.866568,37.190139,临邑县,2020,occurrences_2020_geocoded.csv
美国白蛾,116.762767,36.784164,齐河县,2020,occurrences_2020_geocoded.csv
美国白蛾,116.434016,37.165453,平原县,2020,occurrences_2020_geocoded.csv
美国白蛾,116.001796,36.948013,夏津县,2020,occurrences_2020_geocoded.csv
美国白蛾,116.069312,37.213398,武城县,2020,occurrences_2020_geocoded.csv
美国白蛾,117.232085,37.729769,乐陵市,2020,occurrences_2020_geocoded.csv
美国白蛾,116.638558,36.934198,禹城市,2020,occurrences_2020_geocoded.csv
美国白蛾,115.791822,36.114392,阳谷县,2020,occurrences_2020_geocoded.csv
美国白蛾,115.669843,36.233711,莘县,2020,occurrences_2020_geocoded.csv
美国白蛾,116.247655,36.335198,东阿县,2020,occurrences_2020_geocoded.csv
美国白蛾,115.441684,36.484011,冠县,2020,occurrences_2020_geocoded.csv
美国白蛾,116.230126,36.84715,高唐县,2020,occurrences_2020_geocoded.csv
美国白蛾,115.704982,36.83828,临清市,2020,occurrences_2020_geocoded.csv
美国白蛾,118.098962,37.698952,沾化区,2020,occurrences_2020_geocoded.csv
美国白蛾,117.593744,37.47528,惠民县,2020,occurrences_2020_geocoded.csv
美国白蛾,117.603407,37.632773,阳信县,2020,occurrences_2020_geocoded.csv
美国白蛾,117.625846,37.770579,无棣县,2020,occurrences_2020_geocoded.csv
美国白蛾,118.110715,37.154529,博兴县,2020,occurrences_2020_geocoded.csv
美国白蛾,115.583172,35.105742,定陶区,2020,occurrences_2020_geocoded.csv
美国白蛾,115.556393,34.85875,曹县,2020,occurrences_2020_geocoded.csv
美国白蛾,116.106396,34.779282,单县,2020,occurrences_2020_geocoded.csv
美国白蛾,115.889775,34.95278,成武县,2020,occurrences_2020_geocoded.csv
美国白蛾,116.062585,35.388543,巨野县,2020,occurrences_2020_geocoded.csv
美国白蛾,115.938939,35.575276,郓城县,2020,occurrences_2020_geocoded.csv
美国白蛾,115.544507,35.534088,鄄城县,2020,occurrences_2020_geocoded.csv
美国白蛾,115.107402,35.275664,东明县,2020,occurrences_2020_geocoded.csv
美国白蛾,118.403073,35.088936,河东区,2021,occurrences_2021_geocoded.csv
美国白蛾,103.761329,29.555374,市中区,2021,occurrences_2021_geocoded.csv
美国白蛾,116.901057,36.652264,槐荫区,2021,occurrences_2021_geocoded.csv
美国白蛾,116.987106,36.678665,天桥区,2021,occurrences_2021_geocoded.csv
美国白蛾,117.065233,36.680731,历城区,2021,occurrences_2021_geocoded.csv
美国白蛾,116.752101,36.554251,长清区,2021,occurrences_2021_geocoded.csv
美国白蛾,117.526228,36.681258,章丘区,2021,occurrences_2021_geocoded.csv
美国白蛾,117.811604,36.059393,钢城区,2021,occurrences_2021_geocoded.csv
美国白蛾,116.455865,36.289813,平阴县,2021,occurrences_2021_geocoded.csv
美国白蛾,117.157165,37.309694,商河县,2021,occurrences_2021_geocoded.csv
美国白蛾,120.374675,36.08765,市北区,2021,occurrences_2021_geocoded.csv
美国白蛾,120.469282,36.107069,崂山区,2021,occurrences_2021_geocoded.csv
美国白蛾,120.432652,36.145987,李沧区,2021,occurrences_2021_geocoded.csv
美国白蛾,120.396255,36.307624,城阳区,2021,occurrences_2021_geocoded.csv
美国白蛾,120.447691,36.390217,即墨区,2021,occurrences_2021_geocoded.csv
美国白蛾,120.033382,36.26468,胶州市,2021,occurrences_2021_geocoded.csv
美国白蛾,119.970192,36.753895,平度市,2021,occurrences_2021_geocoded.csv
美国白蛾,118.017877,36.807011,张店区,2021,occurrences_2021_geocoded.csv
美国白蛾,117.966978,36.644211,淄川区,2021,occurrences_2021_geocoded.csv
美国白蛾,117.8627,36.495014,博山区,2021,occurrences_2021_geocoded.csv
美国白蛾,118.309398,36.826882,临淄区,2021,occurrences_2021_geocoded.csv
美国白蛾,118.097923,36.959794,桓台县,2021,occurrences_2021_geocoded.csv
美国白蛾,117.826743,37.171042,高青县,2021,occurrences_2021_geocoded.csv
美国白蛾,118.170856,36.185402,沂源县,2021,occurrences_2021_geocoded.csv
美国白蛾,117.263524,34.795339,薛城区,2021,occurrences_2021_geocoded.csv
美国白蛾,117.590738,34.772931,峄城区,2021,occurrences_2021_geocoded.csv
美国白蛾,117.734287,34.563103,台儿庄区,2021,occurrences_2021_geocoded.csv
美国白蛾,117.461866,35.099638,山亭区,2021,occurrences_2021_geocoded.csv
美国白蛾,117.165881,35.11412,滕州市,2021,occurrences_2021_geocoded.csv
美国白蛾,118.525519,37.886217,河口区,2021,occurrences_2021_geocoded.csv
美国白蛾,118.575234,37.573412,垦利区,2021,occurrences_2021_geocoded.csv
美国白蛾,118.255084,37.490919,利津县,2021,occurrences_2021_geocoded.csv
美国白蛾,118.419437,37.053915,广饶县,2021,occurrences_2021_geocoded.csv
美国白蛾,121.267638,37.49833,福山区,2021,occurrences_2021_geocoded.csv
美国白蛾,121.601015,37.387454,牟平区,2021,occurrences_2021_geocoded.csv
美国白蛾,121.444949,37.511322,莱山区,2021,occurrences_2021_geocoded.csv
美国白蛾,120.47614,37.645281,龙口市,2021,occurrences_2021_geocoded.csv
美国白蛾,120.711555,36.979757,莱阳市,2021,occurrences_2021_geocoded.csv
美国白蛾,119.942057,37.178187,莱州市,2021,occurrences_2021_geocoded.csv
美国白蛾,120.849595,37.335993,栖霞市,2021,occurrences_2021_geocoded.csv
美国白蛾,121.173506,36.688316,海阳市,2021,occurrences_2021_geocoded.csv
美国白蛾,119.211251,36.755925,寒亭区,2021,occurrences_2021_geocoded.csv
美国白蛾,119.166343,36.653671,坊子区,2021,occurrences_2021_geocoded.csv
美国白蛾,119.132288,36.707459,奎文区,2021,occurrences_2021_geocoded.csv
美国白蛾,118.479637,36.685178,青州市,2021,occurrences_2021_geocoded.csv
美国白蛾,119.410051,35.996404,诸城市,2021,occurrences_2021_geocoded.csv
美国白蛾,118.791062,36.857133,寿光市,2021,occurrences_2021_geocoded.csv
美国白蛾,119.21892,36.479642,安丘市,2021,occurrences_2021_geocoded.csv
美国白蛾,119.755271,36.382973,高密市,2021,occurrences_2021_geocoded.csv
美国白蛾,119.403185,36.843256,昌邑市,2021,occurrences_2021_geocoded.csv
美国白蛾,118.543274,36.51246,临朐县,2021,occurrences_2021_geocoded.csv
美国白蛾,118.841035,36.688035,昌乐县,2021,occurrences_2021_geocoded.csv
美国白蛾,116.78365,35.551938,兖州区,2021,occurrences_2021_geocoded.csv
